folder,make,code,category,fuel,displacement,images_saved,caption,post_url
Hyundai_D4ED_2.2L__2,Hyundai,D4ED,Engine,Diesel,2.2L,4,HYUNDAI D4ED 2.2 L DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid07vjSRA1YdYeGTrxd1WY12S6KrPK3CF21a9insiCRxWUva1buV85bUsLe5pyu6Jryl
Hino_WO4C_3.8L,Hino,WO4C,Engine,Diesel,3.8L,3,HINO WO4C 3.8L DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02nFbQZ2z9ETVVtnhW5z4tpyS3uW3jiw7d1GPaQne59Lp6p36V1j4fHkpyhBbnvw9Wl
Nissan_ZD30_3.0L__3,Nissan,ZD30,Engine,Diesel,3.0L,4,NISSAN ZD30(3.0L) TURBO & NON TURBO V4 DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02DmwLWBgGsnBFREJjFi7T67VX3CesurYCgZTZggYrC8Q9VFpHwpdY5T7T6T6mREr7l
Isuzu_4JG2_3.1L,Isuzu,4JG2,Engine,Diesel,3.1L,5,ISUZU 4JG2  3.1L  V4 TURBO INTER COOLER DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0m5EEx9nHfdARJtU48SeiGZRFQdoXKvr4tt8t3prSa417CE9Bx5HFLyWtY1x7ne1fl
Isuzu_4JH1_3.0L,Isuzu,4JH1,Engine,Diesel,3.0L,4,ISUZU 4JH1  3.0L  V4 DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid02HC9tJ2XDsLHcPLAqYzfhqbTiiCcVGPYok2K5foMU9G27PU4d3DYar1v5owLLKzhYl
Mazda_0L_3.0L__2,Mazda,0L,Engine,Diesel,3.0L,3,MAZDA HA 3.0L DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid031wLFLnm2nQG8gcH58fyukBvM6iRh4mSwJ82VNU74fVACLWY1GAYS2Atzc771fyunl
Toyota_HalfCut__3,Toyota,,Half Cut,,,5,TOYOTA LAND CRUISER COMPLETE HALFCUT,https://www.facebook.com/jdmmiamimotors/posts/pfbid068SGQNbgCSDnGWtXsz3uFWmhu6EP4PB1nX1MyGhj8SfmatxxycUfe4YN4N5t2xSml
Kia_J2_2.7L__2,Kia,J2,Engine,Diesel,2.7L,5,KIA J2(2.7L) KIA JT(3.0L) V4 DIESEL ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0d2MbTkHktRJohBUDRFCEPdbo4jpUvFdr5nkkoi4LZicuaLbUb8KeLUVJccgdkeXFl
Toyota_1KD_3.0L__5,Toyota,1KD,Engine,Diesel,3.0L,3,TOYOTA 1KD 3.0L V4 DIESEL ENGINE.,https://www.facebook.com/jdmmiamimotors/posts/pfbid0cSZ4AzM3GrEGxDKuJG3Qwnz2Nrz9Be6iawuhdTLmsqTTr61xgLPmtNmYC9rLtQ1l
Nissan_VQ40_4.0L,Nissan,VQ40,Engine,Petrol,4.0L,4,NISSAN VQ40 4.0 L V6 GASOLINE ENGINE,https://www.facebook.com/jdmmiamimotors/posts/pfbid0qsc79zEuvHsE4tL6RFTHZhnTmgGShfZySCTTMiWfiaNBHbhJVpzMpqZfYFXz1SSWl
